Date;Value
10.03.2016;11,75
11.03.2016;11,95
12.03.2016;12,92
13.03.2016;15,07
14.03.2016;12,5
15.03.2016;13,06
16.03.2016;12,88
17.03.2016;10,74
18.03.2016;10,74
19.03.2016;10,31
20.03.2016;10,18
21.03.2016;11,95
22.03.2016;11,37
23.03.2016;12,43
24.03.2016;11,2
25.03.2016;10,67
26.03.2016;11
27.03.2016;10,4
28.03.2016;11,62
29.03.2016;11,79
30.03.2016;11,85
31.03.2016;11,41
01.04.2016;11,62
02.04.2016;11,61
03.04.2016;11,75
04.04.2016;11,15
05.04.2016;10,4
06.04.2016;10,76
07.04.2016;10,12
08.04.2016;9,71
09.04.2016;9,15
10.04.2016;8,76
11.04.2016;8,68
12.04.2016;7,53
13.04.2016;8,09
14.04.2016;8,46
15.04.2016;8,32
16.04.2016;8,54
17.04.2016;9,46
18.04.2016;8,97
19.04.2016;8,71
20.04.2016;8,61
21.04.2016;8,11
22.04.2016;7,97
23.04.2016;8,46
24.04.2016;8,1
25.04.2016;7,54
26.04.2016;7,5
27.04.2016;7,8
28.04.2016;7,33
29.04.2016;7,52
30.04.2016;8,87
01.05.2016;8,75
02.05.2016;10
03.05.2016;9,34
04.05.2016;9,46
05.05.2016;9,79
06.05.2016;9,35
07.05.2016;9,35
08.05.2016;9,5
09.05.2016;9,32
10.05.2016;9,38
11.05.2016;9,89
12.05.2016;10,04
13.05.2016;10,6
14.05.2016;10,16
15.05.2016;9,97
16.05.2016;11,09
17.05.2016;12,08
18.05.2016;13,35
19.05.2016;14,58
20.05.2016;13,79
21.05.2016;14
22.05.2016;14,21
23.05.2016;13,42
24.05.2016;12,73
25.05.2016;12,49
26.05.2016;12,48
27.05.2016;11,12
28.05.2016;11,98
29.05.2016;12,41
30.05.2016;12,72
31.05.2016;14,01
01.06.2016;13,85
02.06.2016;13,8
03.06.2016;13,84
04.06.2016;13,81
05.06.2016;13,95
06.06.2016;14,03
07.06.2016;14,5
08.06.2016;14,49
09.06.2016;14,45
10.06.2016;13,97
11.06.2016;14,15
12.06.2016;15,8
13.06.2016;17,73
14.06.2016;18,73
15.06.2016;18,45
16.06.2016;20,7
17.06.2016;15,61
18.06.2016;11,41
19.06.2016;12,43
20.06.2016;11,9
21.06.2016;12,94
22.06.2016;13,25
23.06.2016;13,75
24.06.2016;14,29
25.06.2016;14,31
26.06.2016;13,75
27.06.2016;13,96
28.06.2016;12,22
29.06.2016;12,77
30.06.2016;12,5
01.07.2016;12,35
02.07.2016;12,14
03.07.2016;11,78
04.07.2016;11,42
05.07.2016;10,53
06.07.2016;10,55
07.07.2016;10,14
08.07.2016;11,31
09.07.2016;10,9
10.07.2016;10,95
11.07.2016;10,51
12.07.2016;10,55
13.07.2016;10,47
14.07.2016;11,6
15.07.2016;11,93
16.07.2016;11,72
17.07.2016;11,24
18.07.2016;11,04
19.07.2016;11,75
20.07.2016;12,48
21.07.2016;12,55
22.07.2016;14,67
23.07.2016;14,25
24.07.2016;12,65
25.07.2016;13,8
26.07.2016;12,01
27.07.2016;13,03
28.07.2016;12,87
29.07.2016;12,9
30.07.2016;12,52
31.07.2016;11,86
01.08.2016;11,08
02.08.2016;10,16
03.08.2016;10,16
04.08.2016;10,16
05.08.2016;10,16
06.08.2016;10,16
07.08.2016;10,16
08.08.2016;10,16
09.08.2016;10,16
10.08.2016;12,07
11.08.2016;11,64
12.08.2016;11,67
13.08.2016;11,48
14.08.2016;11,16
15.08.2016;11,09
16.08.2016;11,07
17.08.2016;10,72
18.08.2016;10,69
19.08.2016;10,68
20.08.2016;11,26
21.08.2016;11,13
22.08.2016;11,14
23.08.2016;10,99
24.08.2016;10,98
25.08.2016;11,39
26.08.2016;11,22
27.08.2016;11,2
28.08.2016;10,94
29.08.2016;10,93
30.08.2016;11,29
31.08.2016;11,63
01.09.2016;12,22
02.09.2016;12,13
03.09.2016;12,01
04.09.2016;11,73
05.09.2016;11,85
06.09.2016;11,73
07.09.2016;11,64
08.09.2016;11,45
09.09.2016;11,68
10.09.2016;12,13
11.09.2016;11,68
12.09.2016;12
13.09.2016;12,01
14.09.2016;11,94
15.09.2016;12,01
16.09.2016;12,68
17.09.2016;12,8
18.09.2016;12,32
19.09.2016;12,9
20.09.2016;14,45
21.09.2016;13,74
22.09.2016;13,17
23.09.2016;13,36
24.09.2016;12,86
25.09.2016;13,05
26.09.2016;12,9
27.09.2016;13,08
28.09.2016;13,25
29.09.2016;13,1
30.09.2016;13,3
01.10.2016;13,18
02.10.2016;13,16
03.10.2016;13,44
04.10.2016;13,33
05.10.2016;13,11
06.10.2016;12,84
07.10.2016;12,69
08.10.2016;12,26
09.10.2016;12,01
10.10.2016;11,73
11.10.2016;11,78
12.10.2016;11,72
13.10.2016;12,07
14.10.2016;11,93
15.10.2016;12,01
16.10.2016;11,98
17.10.2016;12
18.10.2016;12,54
19.10.2016;11,99
20.10.2016;12,09
21.10.2016;12,16
22.10.2016;12,29
23.10.2016;12,07
24.10.2016;11,99
25.10.2016;11,36
26.10.2016;11,5
27.10.2016;11,57
28.10.2016;11,15
29.10.2016;10,38
30.10.2016;11,28
31.10.2016;10,96
01.11.2016;10,81
02.11.2016;10,86
03.11.2016;10,86
04.11.2016;11,21
05.11.2016;11,17
06.11.2016;10,91
07.11.2016;10,88
08.11.2016;10,92
09.11.2016;10,72
10.11.2016;10,54
11.11.2016;10,27
12.11.2016;10,01
13.11.2016;10,08
14.11.2016;10
15.11.2016;10,27
16.11.2016;10,02
17.11.2016;9,99
18.11.2016;9,52
19.11.2016;9,73
20.11.2016;9,57
21.11.2016;9,61
22.11.2016;9,84
23.11.2016;9,69
24.11.2016;9,2
25.11.2016;9,38
26.11.2016;9,33
27.11.2016;8,88
28.11.2016;8,7
29.11.2016;8,16
30.11.2016;8,62
01.12.2016;8,46
02.12.2016;7,7
03.12.2016;7,91
04.12.2016;7,55
05.12.2016;6,7
06.12.2016;7,71
07.12.2016;8,33
08.12.2016;8,3
09.12.2016;8,52
10.12.2016;8,12
11.12.2016;8,19
12.12.2016;8,45
13.12.2016;8,36
14.12.2016;8,21
15.12.2016;7,83
16.12.2016;7,86
17.12.2016;7,73
18.12.2016;7,93
19.12.2016;7,58
20.12.2016;7,61
21.12.2016;7,89
22.12.2016;7,61
23.12.2016;7,16
24.12.2016;7,25
25.12.2016;7,23
26.12.2016;7,27
27.12.2016;7,12
28.12.2016;7,58
29.12.2016;8,27
30.12.2016;8,16
31.12.2016;8
01.01.2017;8,2
02.01.2017;8,37
03.01.2017;9,74
04.01.2017;11
05.01.2017;10,15
06.01.2017;10,08
07.01.2017;9,84
08.01.2017;10,28
09.01.2017;10,26
10.01.2017;10,61
11.01.2017;9,79
